Date,HPI,Treatment,Target,Name,Sample,Biorep,Baseline,MNE_fc
20250829,2,OBC,PDF1.2,2hpi-OBC,33,1,Mock,1.385440521
20250829,2,OBC,PR1,2hpi-OBC,33,1,Mock,2.068137725
20250829,2,WT,PDF1.2,2hpi-WT,2,1,Mock,0.469627085
20250829,2,WT,PR1,2hpi-WT,2,1,Mock,41.61463185
20250829,2,rmlC,PDF1.2,2hpi-rmlC,34,1,Mock,0.159463857
20250829,2,tagG,PDF1.2,2hpi-tagG,20,1,Mock,0.184805448
20250829,2,tagG,PR1,2hpi-tagG,20,1,Mock,0.030633061
20250829,2,wfgD,PDF1.2,2hpi-wfgD,21,1,Mock,0.095567047
20250829,2,wfgD,PR1,2hpi-wfgD,21,1,Mock,1.448845728
20250829,6,Mock,PDF1.2,6hpi-Mock,3,1,Mock,1
20250829,6,Mock,PR1,6hpi-Mock,3,1,Mock,1
20250829,6,OBC,PDF1.2,6hpi-OBC,5,1,Mock,0.515463079
20250829,6,OBC,PR1,6hpi-OBC,5,1,Mock,1.832311385
20250829,6,WT,PDF1.2,6hpi-WT,4,1,Mock,2.035975609
20250829,6,WT,PR1,6hpi-WT,4,1,Mock,19.64368434
20250829,6,rmlC,PDF1.2,6hpi-rmlC,37,1,Mock,0.293031589
20250829,6,tagG,PDF1.2,6hpi-tagG,35,1,Mock,6.528328072
20250829,6,tagG,PR1,6hpi-tagG,35,1,Mock,10.64175316
20250829,6,wfgD,PDF1.2,6hpi-wfgD,36,1,Mock,2.050819836
20250829,6,wfgD,PR1,6hpi-wfgD,36,1,Mock,397.3209384
20250829,10,Mock,PDF1.2,10hpi-Mock,6,1,Mock,1
20250829,10,Mock,PR1,10hpi-Mock,6,1,Mock,1
20250829,10,OBC,PDF1.2,10hpi-OBC,22,1,Mock,4.173610597
20250829,10,OBC,PR1,10hpi-OBC,22,1,Mock,20.13861367
20250829,10,WT,PDF1.2,10hpi-WT,7,1,Mock,8.587084827
20250829,10,WT,PR1,10hpi-WT,7,1,Mock,2.153461686
20250829,10,rmlC,PDF1.2,10hpi-rmlC,8,1,Mock,3.51397262
20250829,10,rmlC,PR1,10hpi-rmlC,8,1,Mock,3.87499469
20250829,10,tagG,PDF1.2,10hpi-tagG,38,1,Mock,2.333912604
20250829,10,tagG,PR1,10hpi-tagG,38,1,Mock,0.917996926
20250829,10,wfgD,PDF1.2,10hpi-wfgD,9,1,Mock,25.46994962
20250829,10,wfgD,PR1,10hpi-wfgD,9,1,Mock,1.33668494
20250829,24,Mock,PDF1.2,24hpi-Mock,10,1,Mock,1
20250829,24,Mock,PR1,24hpi-Mock,10,1,Mock,1
20250829,24,OBC,PDF1.2,24hpi-OBC,23,1,Mock,0.234039275
20250829,24,OBC,PR1,24hpi-OBC,23,1,Mock,0.409616086
20250829,24,WT,PDF1.2,24hpi-WT,39,1,Mock,0.302682594
20250829,24,WT,PR1,24hpi-WT,39,1,Mock,5.33088636
20250829,24,rmlC,PDF1.2,24hpi-rmlC,24,1,Mock,0.438104775
20250829,24,rmlC,PR1,24hpi-rmlC,24,1,Mock,0.134681072
20250829,24,tagG,PDF1.2,24hpi-tagG,40,1,Mock,18.92113758
20250829,24,tagG,PR1,24hpi-tagG,40,1,Mock,13.7281931
20250829,24,wfgD,PDF1.2,24hpi-wfgD,11,1,Mock,0.983097452
