DATE,METHOD,OD,STRAIN,GENOTYPE,TIME,ABS,LUX
20250530,Overnight,0.01,epsE,Single,12.00,0.309875,567.25
20250530,Overnight,0.01,epsE,Single,12.25,0.310775,556
20250530,Overnight,0.01,epsE,Single,12.50,0.31255,576.5
20250530,Overnight,0.01,epsE,Single,12.75,0.314525,571.5
20250530,Overnight,0.01,epsE,Single,13.00,0.316525,560.75
20250530,Overnight,0.01,epsE,Single,13.25,0.318175,543.5
20250530,Overnight,0.01,epsE,Single,13.50,0.319225,509.75
20250530,Overnight,0.01,epsE,Single,13.75,0.31995,525.75
20250530,Overnight,0.01,epsE,Single,14.00,0.320625,524.5
20250530,Overnight,0.01,epsE,Single,14.25,0.322125,529.75
20250530,Overnight,0.01,epsE,Single,14.50,0.32355,514
20250530,Overnight,0.01,epsE,Single,14.75,0.324875,506
20250530,Overnight,0.01,epsE,Single,15.00,0.32545,508.5
20250530,Overnight,0.01,epsE,Single,15.25,0.326725,492.25
20250530,Overnight,0.01,epsE,Single,15.50,0.32815,490
20250530,Overnight,0.01,epsE,Single,15.75,0.32825,484
20250530,Overnight,0.01,epsE,Single,16.00,0.3292,476.25
20250530,Overnight,0.01,epsE,Single,16.25,0.33055,446.75
20250530,Overnight,0.01,epsE,Single,16.50,0.33245,460
20250530,Overnight,0.01,epsE,Single,16.75,0.33305,452.5
20250530,Overnight,0.01,epsE,Single,17.00,0.334425,435.75
20250530,Overnight,0.01,epsE,Single,17.25,0.334625,430.75
20250530,Overnight,0.01,epsE,Single,17.50,0.3358,431
20250530,Overnight,0.01,epsE,Single,17.75,0.3371,432
20250530,Overnight,0.01,epsE,Single,18.00,0.3386,419.75
20250530,Overnight,0.01,epsE,Single,18.25,0.339325,442.75
20250530,Overnight,0.01,epsE,Single,18.50,0.34025,419
20250530,Overnight,0.01,epsE,Single,18.75,0.3413,397.75
20250530,Overnight,0.01,epsE,Single,19.00,0.342475,412.5
20250530,Overnight,0.01,epsE,Single,19.25,0.34405,386.5
20250530,Overnight,0.01,epsE,Single,19.50,0.3457,390.75
20250530,Overnight,0.01,epsE,Single,19.75,0.34745,373.75
20250530,Overnight,0.01,epsE,Single,20.00,0.349275,399.5
20250530,Overnight,0.01,epsE,Single,20.25,0.351975,403.75
20250530,Overnight,0.01,epsE,Single,20.50,0.354125,373.25
20250530,Overnight,0.01,epsE,Single,20.75,0.356575,344
20250530,Overnight,0.01,epsE,Single,21.00,0.35825,371.75
20250530,Overnight,0.01,epsE,Single,21.25,0.36005,382.75
