File_Name,Well,Phenotype
Col0_R5_P1,D5,S
Col0_R5_P1,D6,B
Col0_R5_P2,A1,B
Col0_R5_P2,A2,S
Col0_R5_P2,A3,B
Col0_R5_P2,A4,D
Col0_R5_P2,A5,B
Col0_R5_P2,A6,D
Col0_R5_P2,B1,B
Col0_R5_P2,B2,S
Col0_R5_P2,B3,S
Col0_R5_P2,B4,B
Col0_R5_P2,B5,D
Col0_R5_P2,B6,S
Col0_R5_P2,C1,B
Col0_R5_P2,C2,S
Col0_R5_P2,C3,S
Col0_R5_P2,C4,S
Col0_R5_P2,C5,B
Col0_R5_P2,C6,D
Col0_R5_P2,D1,B
Col0_R5_P2,D2,B
Col0_R5_P2,D3,B
Col0_R5_P2,D4,B
Col0_R5_P2,D5,B
Col0_R5_P2,D6,S
Col0_R5_P3,A1,X
Col0_R5_P3,A2,B
Col0_R5_P3,A3,D
Col0_R5_P3,A4,D
Col0_R5_P3,A5,D
Col0_R5_P3,A6,B
Col0_R5_P3,B1,B
Col0_R5_P3,B2,D
Col0_R5_P3,B3,B
Col0_R5_P3,B4,B
Col0_R5_P3,B5,B
Col0_R5_P3,B6,B
Col0_R5_P3,C1,D
Col0_R5_P3,C2,B
Col0_R5_P3,C3,B
Col0_R5_P3,C4,B
Col0_R5_P3,C5,B
Col0_R5_P3,C6,D
Col0_R5_P3,D1,B
Col0_R5_P3,D2,B
Col0_R5_P3,D3,D
Col0_R5_P3,D4,B
Col0_R5_P3,D5,B
Col0_R5_P3,D6,D
Col0_R5_P4,A1,S
Col0_R5_P4,A2,B
Col0_R5_P4,A3,B
Col0_R5_P4,A4,B
Col0_R5_P4,A5,D
Col0_R5_P4,A6,B
Col0_R5_P4,B1,B
Col0_R5_P4,B2,B
Col0_R5_P4,B3,B
Col0_R5_P4,B4,B
Col0_R5_P4,B5,B
Col0_R5_P4,B6,B
Col0_R5_P4,C1,B
Col0_R5_P4,C2,B
Col0_R5_P4,C3,B
Col0_R5_P4,C4,D
Col0_R5_P4,C5,X
Col0_R5_P4,C6,D
Col0_R5_P4,D1,B
Col0_R5_P4,D2,B
Col0_R5_P4,D3,B
Col0_R5_P4,D4,B
Col0_R5_P4,D5,B
Col0_R5_P4,D6,B
Col0_R5_P5,A1,D
Col0_R5_P5,A2,D
Col0_R5_P5,A3,D
Col0_R5_P5,A4,D
Col0_R5_P5,A5,D
Col0_R5_P5,A6,D
Col0_R5_P5,B1,B
Col0_R5_P5,B2,B
Col0_R5_P5,B3,B
Col0_R5_P5,B4,B
Col0_R5_P5,B5,D
Col0_R5_P5,B6,B
Col0_R5_P5,C1,B
Col0_R5_P5,C2,D
Col0_R5_P5,C3,B
Col0_R5_P5,C4,B
Col0_R5_P5,C5,S
Col0_R5_P5,C6,B
Col0_R5_P5,D1,B
Col0_R5_P5,D2,D
Col0_R5_P5,D3,B
Col0_R5_P5,D4,B
Col0_R5_P5,D5,B
Col0_R5_P5,D6,B
