file_name,Well,strain
Eyach_R2_P2,A5,epsE
Eyach_R2_P2,A6,rmlC
Eyach_R2_P2,B1,epsE
Eyach_R2_P2,B2,rmlC
Eyach_R2_P2,B3,buffer
Eyach_R2_P2,B4,RmlC-FS
Eyach_R2_P2,B5,buffer
Eyach_R2_P2,B6,tagG
Eyach_R2_P2,C1,tagG
Eyach_R2_P2,C2,OBC
Eyach_R2_P2,C3,epsE
Eyach_R2_P2,C4,tagG
Eyach_R2_P2,C5,RmlC-FS
Eyach_R2_P2,C6,tagG
Eyach_R2_P2,D1,OBC
Eyach_R2_P2,D2,epsE
Eyach_R2_P2,D3,WT
Eyach_R2_P2,D4,buffer
Eyach_R2_P2,D5,OBC
Eyach_R2_P2,D6,RmlC-FS
Col0_R3_P1,A1,buffer
Col0_R3_P1,A2,tagH
Col0_R3_P1,A3,buffer
Col0_R3_P1,A4,spsA
Col0_R3_P1,A5,buffer
Col0_R3_P1,A6,buffer
Col0_R3_P1,B1,spsA
Col0_R3_P1,B2,WT
Col0_R3_P1,B3,buffer
Col0_R3_P1,B4,tagH
Col0_R3_P1,B5,tagH
Col0_R3_P1,B6,tagH
Col0_R3_P1,C1,WT
Col0_R3_P1,C2,spsA
Col0_R3_P1,C3,buffer
Col0_R3_P1,C4,buffer
Col0_R3_P1,C5,WT
Col0_R3_P1,C6,WT
Col0_R3_P1,D1,WT
Col0_R3_P1,D2,WT
Col0_R3_P1,D3,WT
Col0_R3_P1,D4,spsA
Col0_R3_P1,D5,WT
Col0_R3_P1,D6,spsA
Col0_R1_P6,A2,OBC
Col0_R1_P6,C3,epsE
Col0_R1_P6,C5,wfgD
Col0_R1_P6,D1,buffer
Col0_R1_P7,A1,RmlC-FS
Col0_R1_P7,A4,WT
Col0_R1_P7,A5,WT
Col0_R1_P7,B3,RmlC-FS
Col0_R1_P7,B5,OBC
Col0_R1_P7,B6,tagG
Col0_R1_P7,C1,epsE
Col0_R1_P7,C2,RmlC-FS
Col0_R1_P7,C5,wfgD
Col0_R1_P7,D1,rmlC
Col0_R1_P7,D5,tagG
Eyach_R2_P1,A1,OBC
Eyach_R2_P1,A2,WT
Eyach_R2_P1,A3,rmlC
Eyach_R2_P1,A4,WT
Eyach_R2_P1,A5,rmlC
Eyach_R2_P1,A6,buffer
Eyach_R2_P1,B1,OBC
Eyach_R2_P1,B2,epsE
Eyach_R2_P1,B3,buffer
Eyach_R2_P1,B4,buffer
Eyach_R2_P1,B5,buffer
Eyach_R2_P1,B6,RmlC-FS
Eyach_R2_P1,C1,rmlC
Eyach_R2_P1,C2,OBC
Eyach_R2_P1,C3,buffer
Eyach_R2_P1,C4,wfgD
Eyach_R2_P1,C5,tagG
Eyach_R2_P1,C6,OBC
Eyach_R2_P1,D1,epsE
Eyach_R2_P1,D2,buffer
Eyach_R2_P1,D3,tagG
