Well,Sample,Name,Replicate,Target,HPI,Treatment,Cq,Eff,NE_ref_mean,NE_target,NE_baseline,NE_fc
O03,25,48hpi-WT,1,FRK1,48,WT,24.1,2.1565719797867424,1.6176259752461453e-8,0.5589983121903712,0.7500473443213371,0.745284036297959
O04,34,2hpi-rmlC,1,FRK1,02,rmlC,24.8,1.9565665213286076,6.604999387556507e-9,8.934303267639434,0.9551262539674756,9.354054744624023
O05,08,10hpi-rmlC,2,FRK1,10,rmlC,27.07,1.9354997231568358,2.0350486089258154e-08,0.8471018484145082,1.404472548587301,0.6031458922188061
O06,42,48hpi-rmlC,1,FRK1,48,rmlC,24.96,1.9767749747412104,6.836962424218336e-8,0.5998521722579859,0.7500473443213371,0.7997524113637763
O07,17,0hpi-rmlC,2,FRK1,0,rmlC,26.46,2.115750662606063,9.154672851887653e-8,0.02670341978274796,0.278147807355142,0.0960044231039102
O08,25,48hpi-WT,2,FRK1,48,WT,24.27,2.1693640029531505,1.6176259752461453e-8,0.4249460773195813,0.7500473443213371,0.5665590052906379
O09,34,2hpi-rmlC,2,FRK1,02,rmlC,24.44,2.055209167693905,6.604999387556507e-9,3.419210836055489,0.9551262539674756,3.579852215194078
O10,42,48hpi-rmlC,2,FRK1,48,rmlC,23.74,1.9203904747767067,6.836962424218336e-8,2.7382244991840836,0.7500473443213371,3.6507355434498634
O11,08,10hpi-rmlC,3,FRK1,10,rmlC,25.82,2.0314838252753273,2.0350486089258154e-08,0.5542223430691839,1.404472548587301,0.3946124426758305
O12,17,0hpi-rmlC,3,FRK1,0,rmlC,27.17,2.1784284101251847,9.154672851887653e-8,0.007095841734427226,0.278147807355142,0.02551104681320454
O13,25,48hpi-WT,3,FRK1,48,WT,24.16,2.2282946506571006,1.6176259752461453e-8,0.24216057797521617,0.7500473443213371,0.3228603898255643
O14,34,2hpi-rmlC,3,FRK1,02,rmlC,24.2,1.9486399968125185,6.604999387556507e-9,14.744233424176679,0.9551262539674756,15.436947066349571
O15,42,48hpi-rmlC,3,FRK1,48,rmlC,24.36,1.9702804688674336,6.836962424218336e-8,0.9782130537056644,0.7500473443213371,1.3042017428790147
P01,08,10hpi-rmlC,1,WRKY29,10,rmlC,27.44,1.9322039442177463,2.0350486089258154e-08,0.695235391917386,0.49095025781549406,1.4161014906293525
P02,17,0hpi-rmlC,1,WRKY29,0,rmlC,26.26,1.9839577752969526,9.154672851887653e-8,0.16794059814821394,0.5249638019540435,0.31990891090604345
P03,25,48hpi-WT,1,WRKY29,48,WT,26.4,1.9530302214740698,1.6176259752461453e-8,1.3073902652500613,0.32735222594664687,3.993833435741307
P04,34,2hpi-rmlC,1,WRKY29,02,rmlC,26.31,1.925869396208955,6.604999387556507e-9,4.915812066447025,0.46203813431030166,10.639407662280965
P05,08,10hpi-rmlC,2,WRKY29,10,rmlC,27.29,1.9444979645734883,2.0350486089258154e-08,0.645459105966106,0.49095025781549406,1.3147138547968307
P06,42,48hpi-rmlC,1,WRKY29,48,rmlC,26.73,1.9366026700220722,6.836962424218336e-8,0.3108447518474206,0.32735222594664687,0.9495727452242322
P07,17,0hpi-rmlC,2,WRKY29,0,rmlC,26.67,1.904461623722515,9.154672851887653e-8,0.37742608348015433,0.5249638019540435,0.718956396755895
P08,25,48hpi-WT,2,WRKY29,48,WT,26.11,1.9951989577563807,1.6176259752461453e-8,0.9088285549993866,0.32735222594664687,2.776301741560514
P09,34,2hpi-rmlC,2,WRKY29,02,rmlC,25.86,1.9849127068540418,6.604999387556507e-9,3.023669399151641,0.46203813431030166,6.5441987892734526
P10,42,48hpi-rmlC,2,WRKY29,48,rmlC,27.39,1.9071609213944667,6.836962424218336e-8,0.30572262840096687,0.32735222594664687,0.9339256133568944
P11,08,10hpi-rmlC,3,WRKY29,10,rmlC,27.16,1.9583263521130536,2.0350486089258154e-08,0.5805328042929684,0.49095025781549406,1.1824676635797606
P12,17,0hpi-rmlC,3,WRKY29,0,rmlC,26.74,2.0489296627311613,9.154672851887653e-8,0.05106506132142154,0.5249638019540435,0.09727349034608655
P13,25,48hpi-WT,3,WRKY29,48,WT,26.29,1.9530518927736005,1.6176259752461453e-8,1.4068783326811587,0.32735222594664687,4.2977509274992896
P14,34,2hpi-rmlC,3,WRKY29,02,rmlC,25.75,2.059681217877083,6.604999387556507e-9,1.2582791323116513,0.46203813431030166,2.723323117452032
P15,42,48hpi-rmlC,3,WRKY29,48,rmlC,27.23,1.9122477677446055,6.836962424218336e-8,0.31527479992257107,0.32735222594664687,0.9631057159023436
