HPI,Treatment,Target,Name,Sample,n_replicates,wells_used,MNE_fc,se_log,se_MNE
72,Mock,FRK1,72hpi-Mock,12,3,"G02,G07,G12",1,0.3295784971351623,0.3903819549583194
72,Mock,WRKY29,72hpi-Mock,12,3,"H02,H07,H12",1,0.22478597462281458,0.25205471603061436
72,OBC,FRK1,72hpi-OBC,44,2,"H23,H24",4.382342774142981,0.045469881905301546,0.20386432879910754
72,OBC,WRKY29,72hpi-OBC,44,2,"J22,J24",2.3286517147490713,0.7003174592662292,2.362165887750551
72,WT,FRK1,72hpi-WT,28,3,"E04,E09,E14",1.1880898004048537,0.03952517152312482,0.047899842128749134
72,WT,WRKY29,72hpi-WT,28,3,"F04,F09,F14",4.182853545600816,0.2981589410911656,1.453022616452239
72,rmlC,FRK1,72hpi-rmlC,13,3,"I02,I07,I12",0.12372130949199302,0.794648164298173,0.15015585370804171
72,rmlC,WRKY29,72hpi-rmlC,13,3,"J02,J07,J12",0.7806780816355819,0.40444173755778395,0.3891412693672294
72,tagG,FRK1,72hpi-tagG,14,3,"K02,K07,K12",0.7202521309892884,0.05049008358908741,0.03729928898158716
72,tagG,WRKY29,72hpi-tagG,14,3,"L02,L07,L12",0.9494180196492445,0.3958991299141306,0.4611507939042716
72,wfgD,FRK1,72hpi-wfgD,29,3,"G04,G09,G14",4.51547620744903,0.8077650193933218,5.612238263967454
72,wfgD,WRKY29,72hpi-wfgD,29,3,"H04,H09,H14",3.74952263668899,0.2924561305258868,1.2737651932468532
