HPI,Treatment,Name,Target,Baseline,n_replicates,Samples,mean_log_MNE_fc,MNE_fc_global,se_log_MNE_fc,se_MNE_fc_global
6,tagG,6hpi-tagG,PAD3,Time0,3,"35,107,48",0.36575652493546396,1.4416042052449147,1.1176064997790214,2.966139930405201
6,tagG,6hpi-tagG,PDF1.2,Mock,3,"35,107",1.9612683488641933,7.108337201366385,0.06949812840695592,0.5115874187096305
6,tagG,6hpi-tagG,PDF1.2,Time0,3,"35,48,107",1.0242968153788488,2.7851363068044264,2.1678512162904693,21.555519521666756
6,tagG,6hpi-tagG,PR1,Mock,3,"35,107",3.7177868184201897,41.17316949721852,1.1047211619395305,83.10321348977489
6,tagG,6hpi-tagG,PR1,Time0,3,"35,48,107",2.6170768547426584,13.69563069704054,1.8391747137631578,72.468292744553
6,tagG,6hpi-tagG,WRKY29,Mock,3,"35,107",0.44659055996122604,1.562974224032251,0.9450227081268012,2.458358085833824
6,tagG,6hpi-tagG,WRKY29,Time0,3,"35,48,107",0.7285672038472788,2.072109569117439,0.15470881927875849,0.346701251914377
6,wfgD,6hpi-wfgD,FRK1,Mock,3,"36,58,91",1.5378627895265795,4.65463170537274,1.095877610510057,9.271128818454075
6,wfgD,6hpi-wfgD,FRK1,Time0,3,"36,58,91",1.7633462992087976,5.831920128405176,0.6406370498496301,5.2352529804812376
6,wfgD,6hpi-wfgD,NHL10,Mock,3,"36,91,58",0.5419979113769835,1.7194387189490719,1.2995273393676114,4.586710669575003
6,wfgD,6hpi-wfgD,NHL10,Time0,3,"36,91,58",0.444737766409362,1.5600810365354587,0.3476491693866637,0.6485810374045475
6,wfgD,6hpi-wfgD,PAD3,Mock,3,"36,91,58",1.67573661192795,5.342729218024038,0.31861930816713563,2.004739928302287
6,wfgD,6hpi-wfgD,PAD3,Time0,3,"36,91,58",2.1900273062353266,8.935457105061966,1.2233351425351466,21.431723769968364
6,wfgD,6hpi-wfgD,PDF1.2,Mock,3,"36,58,91",0.8821450684616093,2.4160768019686216,0.15181602899673216,0.3961063313043578
6,wfgD,6hpi-wfgD,PDF1.2,Time0,3,"36,58,91",2.7277498745436795,15.298424887106295,1.101579329945559,30.733225164231804
6,wfgD,6hpi-wfgD,PR1,Mock,3,"36,58,91",3.055906502902639,21.240431315053094,1.555572359347142,79.39243047222467
6,wfgD,6hpi-wfgD,PR1,Time0,3,"36,58,91",-0.08564981111195591,0.9179156187935518,1.3717031487426652,2.7005618101835074
6,wfgD,6hpi-wfgD,WRKY29,Mock,3,"36,58,91",0.02861060932910816,1.0290238241748275,0.7284506620692324,1.1029778070077874
6,wfgD,6hpi-wfgD,WRKY29,Time0,3,"36,58,91",0.4159317956019408,1.5157824823131052,0.7936455572035382,1.836285128831031
10,Mock,10hpi-Mock,FRK1,Mock,3,"6,59,106",0,1,0,0
