"contrast","parameter","shapiro_p","levene_p","method","anova_p","welch_p","kruskal_p","p.adj","p.adj.signif","statistic","lwr","upr"
"WT-tagH","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.590573984613987,"NS",-0.0110805501322471,-0.0325552719980489,0.0103941717335547
"WT-wfgD","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.901027102234921,"NS",-0.00723843309764308,-0.0287131549634449,0.0142362887681587
"rmlC-epsE","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.397862041131637,"NS",0.125234221823679,-0.0774920941120745,0.327960537759432
"spsA-epsE","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.284557970337756,"NS",-0.139920466398851,-0.342646782334604,0.062805849536902
"tagG-epsE","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.49957896641578,"NS",0.113982927742754,-0.088743388192999,0.316709243678507
"tagH-epsE","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.345549311101465,"NS",-0.131623845358867,-0.33435016129462,0.0711024705768857
"wfgD-epsE","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.827149238532594,"NS",-0.0790001279838808,-0.281726443919634,0.123726187951872
"WT-epsE","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.910596709540837,"NS",0.0666636002820369,-0.136062715653716,0.26938991621779
"spsA-rmlC","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.0074275947900313,"**",-0.26515468822253,-0.467881004158283,-0.0624283722867766
"tagG-rmlC","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.99999437988508,"NS",-0.0112512940809245,-0.213977610016678,0.191475021854829
"tagH-rmlC","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.00957591187047013,"**",-0.256858067182546,-0.459584383118299,-0.0541317512467929
"wfgD-rmlC","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.0477876189990034,"*",-0.204234349807559,-0.406960665743312,-0.00150803387180629
"WT-rmlC","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.94895669907924,"NS",-0.0585706215416417,-0.261296937477395,0.144155694394111
"tagG-spsA","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.0104842351988054,"*",0.253903394141605,0.0511770782058521,0.456629710077358
"tagH-spsA","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.99999908285584,"NS",0.00829662103998369,-0.194429694895769,0.211022936975737
"wfgD-spsA","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.939187932151281,"NS",0.0609203384149703,-0.141805977520783,0.263646654350723
