HPI,Treatment,Target,Name,Sample,n_replicates,wells_used,MNE_fc,se_log,se_MNE
72,Mock,WRKY29,72hpi-Mock,12,3,"H02,H07,H12",0.8451400749790544,0.22478597462281452,0.2130215416049377
72,OBC,FRK1,72hpi-OBC,44,2,"H23,H24",18.22175343764936,0.045469881905301435,0.8476665851031395
72,OBC,WRKY29,72hpi-OBC,44,2,"J22,J24",2.2733591699653166,0.7003174592662292,2.3060775674973097
72,WT,FRK1,72hpi-WT,28,3,"E04,E09,E14",13.87232403244737,0.039525171523124805,0.5592861169977662
72,WT,WRKY29,72hpi-WT,28,3,"F04,F09,F14",12.492018819062059,0.2981589410911656,4.339426583159743
72,rmlC,FRK1,72hpi-rmlC,13,3,"I02,I07,I12",2.7968263396089896,0.7946481642981731,3.3944018893875696
72,rmlC,WRKY29,72hpi-rmlC,13,3,"J02,J07,J12",2.3414931177434157,0.40444173755778395,1.167154074755536
72,tagG,FRK1,72hpi-tagG,14,3,"K02,K07,K12",2.1635149602281167,0.05049008358908742,0.11204072330434481
72,tagG,WRKY29,72hpi-tagG,14,3,"L02,L07,L12",0.5507040067875855,0.39589912991413057,0.2674876447259566
72,wfgD,FRK1,72hpi-wfgD,29,3,"G04,G09,G14",7.189405702242301,0.8077650193933219,8.93563733338872
72,wfgD,WRKY29,72hpi-wfgD,29,3,"H04,H09,H14",3.250519707239421,0.2924561305258868,1.1042469306708063
