strain,HTF_length_haplotype,OBC_presence
plate21.A3,1245,Present
plate21.A4,1803,Present
plate21.A5,1245,Present
plate21.A7,1245,Present
plate21.A8,1245,Present
plate21.A9,1245,Present
plate21.B1,1803,Present
plate21.B10,1803,Present
plate21.B11,1245,Present
plate21.B12,1383,Absent
plate21.B2,1803,Present
plate21.B3,1245,Present
plate21.B4,1803,Present
plate21.B5,1803,Present
plate21.B7,1245,Present
plate21.B8,1245,Present
plate21.B9,1245,Present
plate21.C1,1803,Present
plate21.C10,1803,Present
plate21.C11,1245,Present
plate21.C12,1383,Absent
plate21.C2,1803,Present
plate21.C3,1245,Present
plate21.C4,1803,Present
plate21.C5,1803,Present
plate21.C7,1245,Present
plate21.C8,1245,Present
plate21.C9,1245,Present
plate21.D1,1803,Present
plate21.D10,1803,Present
plate21.D11,1245,Present
plate21.D2,1803,Present
plate21.D3,1245,Present
plate21.D4,1803,Present
plate21.D5,1245,Present
plate21.D7,1245,Present
plate21.D8,1245,Present
plate21.D9,1245,Present
plate21.E1,1803,Present
plate21.E10,1803,Present
plate21.E11,1803,Present
plate21.E11,1245,Present
plate21.E12,1383,Absent
plate21.E13,1383,Absent
plate21.E2,1803,Present
plate21.E3,1245,Present
plate21.E4,1803,Present
plate21.E5,1803,Present
plate21.E7,1245,Present
plate21.E8,1245,Present
plate21.E9,1245,Present
plate21.F1,1803,Present
plate21.F10,1803,Present
plate21.F11,1245,Present
plate21.F12,1383,Absent
plate21.F2,1803,Present
plate21.F3,1245,Present
plate21.F4,1803,Present
plate21.F5,1245,Present
plate21.F7,1245,Present
plate21.F8,1245,Present
plate21.F9,1245,Present
plate21.G1,1803,Present
plate21.G10,1803,Present
plate21.G11,1245,Present
plate21.G12,1383,Absent
plate21.G2,1803,Present
plate21.G3,1245,Present
plate21.G4,1803,Present
plate21.G5,1245,Present
plate21.G7,1245,Present
plate21.G8,1245,Present
plate21.G9,1245,Present
plate21.H1,1803,Present
plate21.H10,1803,Present
plate21.H11,1245,Present
plate21.H12,1383,Absent
plate21.H2,1803,Present
plate21.H3,1245,Present
plate21.H4,1803,Present
plate21.H5,1245,Present
plate21.H7,1245,Present
plate21.H8,1245,Present
plate21.H9,1245,Present
plate22.A1,1245,Present
plate22.A2,1803,Present
plate22.A3,1803,Present
plate22.A4,1803,Present
plate22.A5,1245,Present
plate22.A7,1245,Present
plate22.A8,1245,Present
plate22.B1,1245,Present
plate22.B2,1803,Present
plate22.B3,1245,Present
plate22.B4,1803,Present
plate22.B5,1245,Present
plate22.B7,1245,Present
plate22.B8,1383,Absent
plate22.C1,1383,Absent
plate22.C2,1803,Present
plate22.C3,1245,Present
plate22.C4,1803,Present
plate22.C5,1245,Present
plate22.C7,1245,Present
plate22.C8,1383,Absent
plate22.D1,1245,Present
plate22.D2,NA,Present
plate22.D3,1245,Present
plate22.D4,1803,Present
plate22.D5,NA,Present
plate22.D7,NA,Present
plate22.D8,NA,Absent
plate22.E1,1245,Present
plate22.E2,1803,Present
plate22.E3,1803,Present
plate22.E4,1245,Present
plate22.E5,1245,Present
plate22.E7,1383,Absent
plate22.F1,1245,Present
plate22.F2,1803,Present
plate22.F3,1803,Present
plate22.F4,1245,Present
plate22.F5,1245,Present
plate22.F7,1383,Absent
plate22.G1,1245,Present
plate22.G2,1803,Present
plate22.G3,1803,Present
plate22.G4,1245,Present
plate22.G5,1245,Present
plate22.G7,1383,Absent
plate22.H1,1245,Present
plate22.H2,1803,Present
plate22.H3,1803,Present
plate22.H4,1245,Present
plate22.H5,1245,Present
plate23.A1,1803,Present
plate23.A2,1383,Absent
plate23.A3,1830,Absent
plate23.A4,NA,Absent
plate23.A5,NA,Absent
plate23.A6,1803,Present
plate23.A7,1803,Present
plate23.A8,1383,Absent
plate23.A9,1245,Present
plate23.B1,1803,Present
plate23.B2,1830,Absent
plate23.B3,1383,Absent
plate23.B4,NA,Absent
plate23.B5,1803,Present
plate23.B6,1803,Present
plate23.B7,1383,Absent
plate23.B8,1803,Present
plate23.B9,1803,Present
plate23.C1,1803,Present
plate23.C2,1245,Present
plate23.C3,1383,Absent
plate23.C4,1803,Present
plate23.C5,1803,Present
plate23.C6,NA,Absent
plate23.C7,1383,Absent
plate23.C8,1383,Absent
plate23.C9,1803,Present
plate23.D1,1803,Present
plate23.D2,1383,Absent
plate23.D3,1383,Absent
plate23.D4,1803,Present
plate23.D5,1803,Present
plate23.D6,1383,Absent
plate23.D7,NA,Present
plate23.D8,NA,Absent
plate23.D9,1803,Present
plate23.E1,1803,Present
plate23.E2,1383,Absent
plate23.E5,NA,Absent
plate23.E6,1803,Present
plate23.E7,1383,Absent
plate23.E9,1803,Present
plate23.F1,1803,Present
plate23.F2,1383,Absent
plate23.F4,NA,Absent
plate23.F5,1803,Present
plate23.F6,1383,Absent
plate23.F9,1383,Absent
plate23.G1,1803,Present
plate23.G2,1383,Absent
plate23.G3,NA,Absent
plate23.G5,1803,Present
plate23.G6,1383,Absent
plate23.G7,NA,Absent
plate23.G9,1803,Present
plate23.H1,1803,Present
plate23.H2,1383,Absent
plate23.H3,NA,Absent
plate23.H5,1803,Present
plate23.H6,1383,Absent
plate23.H7,NA,Absent
plate23.H9,1803,Present
plate24.A1,1245,Present
plate24.A10,NA,Absent
plate24.A11,1245,Present
plate24.A12,1245,Present
plate24.A3,1245,Present
plate24.A4,1803,Present
plate24.A5,1245,Present
plate24.A7,1803,Present
plate24.A8,1383,Absent
plate24.A9,1245,Present
plate24.B1,1803,Present
plate24.B10,1245,Present
plate24.B11,1245,Present
plate24.B12,1245,Present
plate24.B3,1245,Present
plate24.B4,1803,Present
plate24.B5,1383,Absent
plate24.B7,1803,Present
plate24.B8,1383,Absent
plate24.B9,1245,Present
plate24.C1,1803,Present
plate24.C10,1245,Present
plate24.C11,1245,Present
plate24.C12,1245,Present
plate24.C2,1830,Absent
plate24.C3,1245,Present
plate24.C4,1803,Present
plate24.C5,1245,Present
plate24.C7,1803,Present
plate24.C8,1383,Absent
plate24.C9,1245,Present
plate24.D1,1803,Present
plate24.D10,NA,Absent
plate24.D11,1245,Present
plate24.D12,1245,Present
plate24.D2,1245,Present
plate24.D3,1245,Present
plate24.D4,1803,Present
plate24.D5,1245,Present
plate24.D7,1803,Present
plate24.D8,1383,Absent
plate24.D9,1245,Present
plate24.E1,1803,Present
plate24.E10,1245,Present
plate24.E11,1245,Present
plate24.E12,1245,Present
plate24.E2,1245,Present
plate24.E3,1245,Present
plate24.E4,1803,Present
plate24.E5,1245,Present
plate24.E7,1803,Present
plate24.E8,1383,Absent
plate24.E9,1245,Present
plate24.F1,1803,Present
plate24.F10,NA,Absent
plate24.F11,1245,Present
plate24.F12,1245,Present
plate24.F2,1245,Present
plate24.F3,1245,Present
plate24.F4,1803,Present
plate24.F5,1245,Present
plate24.F7,1803,Present
plate24.F8,1383,Absent
plate24.F9,1245,Present
plate24.G1,1803,Present
plate24.G10,NA,Absent
plate24.G11,1245,Present
plate24.G12,1245,Present
plate24.G2,1830,Absent
plate24.G3,1245,Present
plate24.G4,1803,Present
plate24.G5,1245,Present
plate24.G7,1803,Present
plate24.G8,1383,Absent
plate24.G9,1245,Present
plate24.H1,1803,Present
plate24.H10,1245,Present
plate24.H11,1245,Present
plate24.H2,1830,Absent
plate24.H3,1245,Present
plate24.H4,1803,Present
plate24.H5,1245,Present
plate24.H6,1803,Present
plate24.H7,1803,Present
plate24.H8,1383,Absent
plate24.H9,1245,Present
plate25.A1,1803,Present
plate25.A10,1803,Present
plate25.A11,1245,Present
plate25.A12,1383,Absent
plate25.A2,1803,Present
plate25.A3,1245,Present
plate25.A4,1803,Present
plate25.A5,1803,Present
plate25.A7,1245,Present
plate25.A8,1245,Present
plate25.A9,1245,Present
plate25.B1,1245,Present
plate25.B10,1803,Present
plate25.B11,1245,Present
plate25.B12,1383,Absent
plate25.B2,1803,Present
plate25.B3,1245,Present
plate25.B4,1803,Present
plate25.B5,1245,Present
plate25.B7,1245,Present
plate25.B8,1245,Present
plate25.B9,1245,Present
plate25.C1,1803,Present
plate25.C10,1803,Present
plate25.C11,1245,Present
plate25.C12,1383,Absent
plate25.C2,1803,Present
plate25.C3,1245,Present
plate25.C4,1803,Present
plate25.C5,1245,Present
plate25.C7,1245,Present
plate25.C8,1803,Present
plate25.C9,1245,Present
plate25.D1,1803,Present
plate25.D10,1803,Present
plate25.D11,1245,Present
plate25.D12,1383,Absent
plate25.D2,1803,Present
plate25.D3,1245,Present
plate25.D4,1803,Present
plate25.D5,1245,Present
plate25.D7,1245,Present
plate25.D8,1245,Present
plate25.D9,1245,Present
plate25.E1,1803,Present
plate25.E10,1803,Present
plate25.E11,1245,Present
plate25.E11,1803,Present
plate25.E12,1383,Absent
plate25.E13,1383,Absent
plate25.E2,1245,Present
plate25.E3,1245,Present
plate25.E4,1803,Present
plate25.E5,1245,Present
plate25.E7,1245,Present
plate25.E8,1245,Present
plate25.E9,1245,Present
plate25.F1,1803,Present
plate25.F10,1803,Present
plate25.F11,1245,Present
plate25.F12,1383,Absent
plate25.F2,1803,Present
plate25.F3,1245,Present
plate25.F4,1803,Present
plate25.F5,1245,Present
plate25.F7,1245,Present
plate25.F8,1245,Present
plate25.F9,1245,Present
plate25.G1,1803,Present
plate25.G10,1803,Present
plate25.G11,1245,Present
plate25.G12,1383,Absent
plate25.G2,1803,Present
plate25.G3,1245,Present
plate25.G4,1803,Present
plate25.G5,1245,Present
plate25.G7,1803,Present
plate25.G8,1245,Present
plate25.G9,1245,Present
plate25.H1,1803,Present
plate25.H10,1803,Present
plate25.H11,1245,Present
plate25.H12,1383,Absent
plate25.H2,1803,Present
plate25.H3,1245,Present
plate25.H4,1803,Present
plate25.H5,1803,Present
plate25.H7,1245,Present
plate25.H8,1245,Present
plate25.H9,1245,Present
plate26.A1,1245,Present
plate26.A10,1383,Absent
plate26.A2,1803,Present
plate26.A4,1245,Present
plate26.A5,1803,Present
plate26.A7,1245,Present
plate26.A8,1245,Present
plate26.A9,1383,Absent
plate26.B1,1245,Present
plate26.B10,1803,Present
