tnseq_ID,baseMean_Ey,log2FoldChange_Ey,pvalue_Ey,padj_Ey,logFC_tailocin,AveExpr_tailocin,t_tailocin,P.Value_tailocin,adj.P.Val_tailocin,Significance_for_both,Category,name_p25c2_new
BJEIHDPM_01480,6.13292712068863,0.253569619398178,0.641508028758049,0.78999852793772,-4.661628091,4.358548224,-7.324569562,2.76272621559331E-09,3.10644871336277E-09,Not Significant,Non-Focal Trade-off,DAKCFMEO_05107
BJEIHDPM_01481,19.7988052201682,-0.537554414770515,0.155519866451817,0.347334206128275,-4.801830045,6.001539611,-14.44366243,7.8955134422991E-19,1.91940592043301E-18,Not Significant,Mutual Detriment,DAKCFMEO_05108
BJEIHDPM_01482,75.1060128970381,0.68681973284183,0.0196311145711961,0.09469751744371,-5.065476474,7.89106135,-22.83404622,5.97836231034906E-27,2.78545249780244E-25,Significant,Non-Focal Trade-off,DAKCFMEO_05109
BJEIHDPM_01483,50.9628175935395,-0.511105187435179,0.149099014942079,0.342225978848358,-4.889944232,8.278297733,-25.14302139,9.33740874260553E-29,1.20672555954742E-26,Not Significant,Mutual Detriment,DAKCFMEO_05110
BJEIHDPM_01484,10.4198995496228,-0.154450509447237,0.659786577509956,0.804121949995017,-4.675479907,5.576107622,-13.79284184,4.54268571935029E-18,9.57415404794118E-18,Not Significant,Mutual Detriment,DAKCFMEO_05111
BJEIHDPM_01488,7.69856212189322,0.253991194641498,0.554378181627478,0.729721825415663,-4.913026069,4.857955866,-12.47570846,1.83854202685735E-16,3.03201484085513E-16,Not Significant,Non-Focal Trade-off,DAKCFMEO_05115
BJEIHDPM_01489,25.392358648865,0.7915329561434,0.0213665294076925,0.100085321962349,-5.761946865,6.217134547,-18.0829488,1.06332175018521E-22,6.74092612832074E-22,Significant,Non-Focal Trade-off,DAKCFMEO_05116
BJEIHDPM_01490,32.8340874369567,0.841264417724516,0.00984003621308,0.0584816843381716,-5.2040078,6.784101597,-15.21459756,1.05983989998479E-19,3.13961214816483E-19,Significant,Non-Focal Trade-off,DAKCFMEO_05117
BJEIHDPM_01491,15.667966058855,0.316728100296107,0.349446548902095,0.564954456898936,-5.596930676,5.612012396,-14.63667108,4.74484576143991E-19,1.2022447100924E-18,Not Significant,Non-Focal Trade-off,DAKCFMEO_05118
BJEIHDPM_01492,17.5033624361092,0.0384528486241946,0.89182848279125,0.945476295037776,-5.346452094,5.974142988,-18.05630668,1.12942898665349E-22,7.05746055592461E-22,Not Significant,Non-Focal Trade-off,DAKCFMEO_05119
BJEIHDPM_01493,37.4662475740511,0.914404713433917,0.00173558212660059,0.0175033211634507,-4.761631207,7.105988612,-18.66095141,2.92061074525731E-23,2.22476364547457E-22,Significant,Non-Focal Trade-off,DAKCFMEO_05120
BJEIHDPM_01494,18.3260726021872,0.35905010754714,0.32587597867185,0.541704620125337,-0.547374844,7.294217081,-2.606977697,0.012228897,0.012295512,Not Significant,Non-Focal Trade-off,DAKCFMEO_05121
BJEIHDPM_01495,30.0414028259002,0.300352796499234,0.321191878065667,0.536827739865622,-5.804594733,6.272739413,-14.57902854,5.5216977621317E-19,1.38229669068701E-18,Not Significant,Non-Focal Trade-off,DAKCFMEO_05122
BJEIHDPM_01497,7.19430304244842,0.399243364814933,0.311601996224241,0.528491237045401,-4.97977172,4.736276479,-11.27574264,6.48882246951608E-15,9.18579912425005E-15,Not Significant,Non-Focal Trade-off,DAKCFMEO_05124
BJEIHDPM_01500,6.06293812602141,0.387877595300178,0.423360526542514,0.632194800836058,-5.134430162,4.712562632,-8.974360166,1.00529430340358E-11,1.22198768035304E-11,Not Significant,Non-Focal Trade-off,DAKCFMEO_05127
