"","strain","ecotype","batch","replicate","lux_0dpi","lux_7dpi","log_lux_7dpi","log_lux_0dpi","fold_change_7dpi","normalized_value_7dpi"
"389","WT","Col0","1",4,318,715,2.85430604180108,2.50242711998443,1.14061505288467,0.321757618128589
"390","WT","Col0","1",5,318,437,2.64048143697042,2.50242711998443,1.05516816689025,0.236310732134168
"391","WT","Col0","1",6,318,126.3333333,2.10151795513382,2.50242711998443,0.839791871799605,0.0209344370435219
"392","WT","Col0","1",7,318,535,2.72835378202123,2.50242711998443,1.09028301373196,0.271425578975882
"393","WT","Col0","1",8,318,720.6666667,2.85773443491772,2.50242711998443,1.14198508004321,0.323127645287125
"394","buffer","Col0","2",5,60,64.33333333,1.80843605426561,1.77815125038364,1.01703162420825,NA
"395","buffer","Col0","2",4,60,170,2.23044892137827,1.77815125038364,1.25436400356665,NA
"396","buffer","Col0","2",8,60,60.66666667,1.78295013328927,1.77815125038364,1.00269880467401,NA
"397","buffer","Col0","2",6,60,46.33333333,1.66589354550319,1.77815125038364,0.936868303606774,NA
"398","buffer","Col0","2",7,60,57.33333333,1.75840719216264,1.77815125038364,0.988896299897578,NA
"399","buffer","Col0","2",9,60,88.66666667,1.94776038192773,1.77815125038364,1.09538509815039,NA
"400","buffer","Col0","2",1,60,77,1.88649072517248,1.77815125038364,1.06092815488304,NA
"401","epsE","Col0","2",1,206,99,1.99563519459755,2.31386722036915,0.862467464437811,NA
"402","epsE","Col0","2",6,206,82,1.91381385238372,2.31386722036915,0.827106169073257,NA
"403","epsE","Col0","2",3,206,82.66666667,1.91733042612407,2.31386722036915,0.828625951068262,NA
"404","epsE","Col0","2",5,206,122.6666667,2.08872656407187,2.31386722036915,0.902699405430289,NA
"405","epsE","Col0","2",9,206,56,1.7481880270062,2.31386722036915,0.755526510603878,NA
"406","epsE","Col0","2",10,206,126.6666667,2.10266234201144,2.31386722036915,0.908722126966291,NA
"407","epsE","Col0","2",12,206,58.33333333,1.76591679394182,2.31386722036915,0.763188474427708,NA
"408","epsE","Col0","2",2,206,155.6666667,2.19219562593945,2.31386722036915,0.947416345519474,NA
"409","epsE","Col0","2",11,206,347.3333333,2.54074646420216,2.31386722036915,1.0980519719696,NA
"410","epsE","Col0","2",7,206,78.66666667,1.89579074826885,2.31386722036915,0.819316999514948,NA
"411","OBC",NA,"2",NA,126,NA,NA,2.10037054511756,NA,NA
"412","rmlC","Col0","2",5,327,85.33333333,1.93111871057522,2.51454775266029,0.767978539493704,NA
"413","rmlC","Col0","2",1,327,291,2.46389298898591,2.51454775266029,0.979855318467988,NA
"414","rmlC","Col0","2",4,327,77,1.88649072517248,2.51454775266029,0.750230622256688,NA
"415","rmlC","Col0","2",2,327,94.33333333,1.97466518078928,2.51454775266029,0.785296353469593,NA
"416","rmlC","Col0","2",9,327,378.3333333,2.57787460677122,2.51454775266029,1.02518419228425,NA
"417","rmlC","Col0","2",3,327,86.66666667,1.93785209326786,2.51454775266029,0.770656310351511,NA
"418","rmlC","Col0","2",6,327,141.6666667,2.15126767543284,2.51454775266029,0.855528662423247,NA
"419","rmlC","Col0","2",8,327,272,2.4345689040342,2.51454775266029,0.96819354552266,NA
"420","rmlC","Col0","2",7,327,76.66666667,1.88460658131681,2.51454775266029,0.749481324951168,NA
"421","rmlC","Col0","2",11,327,68.66666667,1.83674596567057,2.51454775266029,0.730447836485655,NA
"423","tagG","Col0","2",8,203,132.6666667,2.12276181746314,2.30749603791321,0.919941695493816,NA
"424","tagG","Col0","2",3,203,81.66666667,1.9120448296626,2.30749603791321,0.828623234123408,NA
"425","tagG","Col0","2",9,203,117.6666667,2.07065345079119,2.30749603791321,0.897359482646734,NA
"426","tagG","Col0","2",1,203,93.33333333,1.97003677660705,2.30749603791321,0.853755215280305,NA
"427","tagG","Col0","2",7,203,70.33333333,1.84716120055745,2.30749603791321,0.800504603348281,NA
"428","tagG","Col0","2",6,203,56.33333333,1.75076544986831,2.30749603791321,0.758729558405491,NA
"429","tagG","Col0","2",5,203,81.33333333,1.91026857160127,2.30749603791321,0.82785345682709,NA
"430","tagG","Col0","2",2,203,94,1.9731278535997,2.30749603791321,0.855094795908772,NA
"431","tagG","Col0","2",4,203,88.33333333,1.94612461920076,2.30749603791321,0.843392399044263,NA
"432","tagG","Col0","2",10,203,58,1.76342799356294,2.30749603791321,0.764217127392208,NA
"433","tagG","Col0","2",11,203,59,1.77085201164214,2.30749603791321,0.767434475529421,NA
"434","wfgD","Col0","2",3,803,102.6666667,2.01142946192179,2.90471554527868,0.692470374660665,NA
"435","wfgD","Col0","2",2,803,95.33333333,1.9792447783942,2.90471554527868,0.68139022480575,NA
"436","wfgD","Col0","2",9,803,279,2.4456042032736,2.90471554527868,0.841942753137627,NA
"437","wfgD","Col0","2",4,803,90.66666667,1.9574476493305,2.90471554527868,0.673886175364791,NA
"438","wfgD","Col0","2",1,803,159.3333333,2.2023066418016,2.90471554527868,0.758183239450495,NA
"439","wfgD","Col0","2",7,803,118.6666667,2.07432874337521,2.90471554527868,0.714124571249951,NA
"440","wfgD","Col0","2",10,803,74.33333333,1.87118360830902,2.90471554527868,0.644188244646,NA
"441","wfgD","Col0","2",11,803,80,1.90308998699194,2.90471554527868,0.655172583107224,NA
"442","wfgD","Col0","2",5,803,120.3333333,2.08038594706569,2.90471554527868,0.716209871375236,NA
"443","WT","Col0","2",10,210,563.6666667,2.75102235290376,2.32221929473392,1.18465226739879,NA
"444","WT","Col0","2",2,210,143.3333333,2.15634720075893,2.32221929473392,0.928571735515616,NA
"445","WT","Col0","2",5,210,246.3333333,2.3915231836164,2.32221929473392,1.02984381752388,NA
"446","WT","Col0","2",4,210,122.6666667,2.08872656407187,2.32221929473392,0.89945276434851,NA
"447","WT","Col0","2",9,210,399.3333333,2.60133556329738,2.32221929473392,1.12019375999347,NA
"448","WT","Col0","2",11,210,778.6666667,2.89135158373929,2.32221929473392,1.2450811989617,NA
"449","buffer","Col0","3",1,60,63,1.79934054945358,1.77815125038364,1.01191647733305,0.180522821961028
"450","buffer","Col0","3",8,60,62,1.79239168949825,1.77815125038364,1.00800856457601,0.176614909203985
"451","buffer","Col0","3",4,60,67.66666667,1.83037478321494,1.77815125038364,1.02936956730764,0.197975911935611
"452","buffer","Col0","3",2,60,65.66666667,1.81734497146398,1.77815125038364,1.02204183759502,0.190648182222991
"453","buffer","Col0","3",3,60,58.33333333,1.76591679394182,1.77815125038364,0.993119563682117,0.161725908310092
"454","buffer","Col0","3",6,60,61.66666667,1.79005047370683,1.77815125038364,1.00669190729451,0.175298251922484
"455","buffer","Col0","3",5,60,70,1.84509804001426,1.77815125038364,1.03764965978916,0.206256004417134
"456","buffer","Col0","3",7,60,60.66666667,1.78295013328927,1.77815125038364,1.00269880467401,0.171305149301984
"457","spsA","Col0","3",3,531,60,1.77815125038364,2.72509452108147,0.652509935573895,-0.17888371979813
"458","spsA","Col0","3",2,531,117.6666667,2.07065345079119,2.72509452108147,0.759846469460971,-0.0715471859110544
"459","spsA","Col0","3",4,531,588.3333333,2.76962345497957,2.72509452108147,1.01634032638267,0.184946671010647
